Main / Associated,Document URL,Document Name,Link ,Contract Name,Contract Identifier,Language,Country Name,Resource,Contract Type,Signature Date,Document Type,Government Entity,Government Identifier,Company Name 1,Company Name 2,Company Name 1 (concatenated),Company Name 1 ,Company Name 2,Company Name 3,Company Name 4,Company Name 3,Company Name 5,Company Name 6,Company Name 4,Company Name 8,Company Address 1,Jurisdiction of Incorporation 1,Registration Agency 1,Company Number 1,Corporate Grouping 1,Participation Share 1,Open Corporates Link 1,Incorporation Date 1,Operator 1,Company Name 2,Jurisdiction of Incorporation 2,Registration Agency 2,Company Number 2,Corporate Grouping 2,Participation Share 2,Open Corporates Link 2,Incorporation Date 2,Operator 2,Project Title,Project Identifier,License Name,License Identifier,Source Url,Disclosure Mode,Retrieval Date
Main,https://www.gob.mx/cms/uploads/attachment/file/117310/CNH-R01-L01-A2-2015.pdf,,Works,"Company name 1, Company name 2, Área Contractual 2, Ronda 1-1, Contract type, Year",,es,Mexico,Hydrocarbons,,2015-09-04,Contract,Comisión Nacional de Hidrocarburos,,Sierra O&G Exploración y Producción,S. de R.L. de C.V.,Sierra O&G Exploración y Producción S. de R.L. de C.V.,Sierra O&G Exploración y Producción S. de R.L. de C.V.,Talos Energy Offshore Mexico 2 S. de R.L. de C.V.,Talos energy Offshore Mexico 2,S. de R.L. de C.V.,Premier Oil Exploration and Production Mexico  S.A. de C.V.,y Premier Oil exploration and Production Mexico,S.A. de C.V.,,,,,,,,,,,,,,,,,,,,,,"Área Contractual 2, Ronda 1-1",,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117311/CNH-R01-L01-A7-2015.pdf,,Works,"Área Contractual 7, Ronda 1-1",,es,Mexico,Hydrocarbons,,2015-09-04,Contract,Comisión Nacional de Hidrocarburos,,Sierra O&G Exploración y Producción,S. de R.L. de C.V.,Sierra O&G Exploración y Producción S. de R.L. de C.V.,Sierra O&G Exploración y Producción S. de R.L. de C.V.,Talos Energy Offshore Mexico 2 S. de R.L. de C.V.,Talos energy Offshore Mexico 2,S. de R.L. de C.V.,Premier Oil Exploration and Production Mexico  S.A. de C.V.,y Premier Oil exploration and Production Mexico,S.A. de C.V.,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117453/CNH-R01-L02-A1-2015.pdf,,Works,"Área Contractual 1, Ronda 1-2",,es,Mexico,Hydrocarbons,,2015-09-04,Contract,Comisión Nacional de Hidrocarburos,,ENI México,S. de R.L. de C.V.,ENI México S. de R.L. de C.V.,ENI México S. de R.L. de C.V., ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117454/CNH-R01-L02-A2-2015.pdf,,Works,"Área Contractual 2, Ronda 1-2",,es,Mexico,Hydrocarbons,,2016-01-07,Contract,Comisión Nacional de Hidrocarburos,,Hokchi energy,S.A. de C.V.,Hokchi energy S.A. de C.V.,Hokchi Energy S.A. de C.V.,E&P Hidrocarburos y Servicios S.A. de C.V.,y e&P Hidrocarburos y Servicios,S.A. de C.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117455/CNH-R01-L02-A4-2015.pdf,,Works,"Área Contractual 4, Ronda 1-2",,es,Mexico,Hydrocarbons,,2016-01-07,Contract,Comisión Nacional de Hidrocarburos,,Fieldwood Energy E&P México,S. de R.L. de C.V.,Fieldwood Energy E&P México S. de R.L. de C.V.,Fieldwood Energy E&P México S. de R.L. de C.V.,Petrobal Upstream Delta 1 S.A de C.V.,y Petrobal Upstream Delta 1,S.A de C.V.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117487/CNH-R01-L03-A1-2015.pdf,,Works,"Área Contractual 1, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Diavaz Offshore,S.A.P.I. de C.V.,Diavaz Offshore S.A.P.I. de C.V.,Diavaz Offshore S.A.P.I. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117496/CNH-R01-L03-A11-2015.pdf,,Works,"Área Contractual 11, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Renaissance Oil Corp.,S.A. de C.V.,Renaissance Oil Corp. S.A. de C.V.,Renaissance Oil Corp. S.A. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,http://rondasmexico.gob.mx/wp-content/uploads/2017/04/CNH-R01-L03-A12-2015.pdf,,Works,"Área Contractual 12, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Grupo Mareógrafo,S.A. de C.V.,Grupo Mareógrafo S.A. de C.V.,Grupo Mareógrafo S.A. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,https://www.gob.mx/cms/uploads/attachment/file/117569/CNH-R01-L03-A13-2015.pdf,,Works,"Área Contractual 13, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Mayacaste Oil & Gas,S.A.P.I. de C.V.,Mayacaste Oil & Gas S.A.P.I. de C.V.,Mayacaste Oil & Gas S.A.P.I. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
Main,http://rondasmexico.gob.mx/wp-content/uploads/2017/04/CNH-R01-L03-A14-2015.pdf,,Works,"Área Contractual 14, Ronda 1-3",,es,Mexico,Hydrocarbons,,2016-05-10,Contract,Comisión Nacional de Hidrocarburos,,Canamex Energy Holdings,S.A.PI. de C.V.,Canamex Energy Holdings S.A.PI. de C.V.,Canamex Energy Holdings S.A.PI. de C.V.,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government ,
