SECTOR,ID_PASO_EITI,CICLO,PERIODO,ID_ENTIDAD_FEDERATIVA_ENTREGA_ITEMS_PROCED,ENTIDAD_FEDERATIVA_ENTREGA_ITEMS_PROCED,ID_MUNICIPIO_ENTREGA_ITEMS_PROCED,MUNICIPIO_ENTREGA_ITEMS_PROCED,TIPO_COORDENADAS,COORDENADAS_DETALLE_1,COORDENADAS_DETALLE_2,COORDENADAS_DETALLE_3,COORDENADAS_DETALLE_4,ID_TIPO_CONTRATO,DESC_TIPO_CONTRATO,OCID,ID_CONTRATO,DESC_CONTRATO,ID_ADICIONAL_CONTRATO,ID_EXPEDIENTE,NUMERO_PROCED,ID_ITEMS_CONTRATO,DESC_ITEMS_CONTRATO,SUPERFICIE,UNIDAD,URL_LOCALIZACION_ITEMS_CONTRATO,ESTATUS_CONTRATO,DETALLE_ESTATUS_CONTRATO,FECHA_ADJUDICACION,URL_DOCUMENTO_ADJUDICACION,FECHA_FIRMA_CONTRATO,FECHA_INICIO_CONTRATO,FECHA_FIN_CONTRATO,DURACION_MAXIMA_CONTRATO,DURACION_DIAS_CONTRATO,NUMERO_PRORROGAS,DURACION_PRORROGAS,ID_ORGANIZACION,DESC_ORGANIZACION,ID_ADICIONAL_ORGANIZACION,TIPO_ORGANIZACION,PAIS_ORGANIZACION,GIRO_ORGANIZACION,EMPLEADOS_CONTRATADOS,EMPLEADOS_AFILIADOS,ID_DOCUMENTO_CONTRATO,DESC_TIPO_DOCUMENTO_CONTRATO,NOMBRE_DOCUMENTO_CONTRATO,DETALLE_DOCUMENTO_CONTRATO,URL_DOCUMENTO_CONTRATO,FECHA_PUBLICACION_DOCUMENTO_CONTRATO,FECHA_ACTUALIZACION_DOCUMENTO_CONTRATO,FORMATO_DOCUMENTO_CONTRATO,IDIOMA_DOCUMENTO_CONTRATO,ID_HITO_CONTRATO,DESC_HITO_CONTRATO,TIPO_HITO_CONTRATO,DETALLE_HITO_CONTRATO,FECHA_PLANEADA_HITO_CONTRATO,FECHA_CUMPLIMIENTO_HITO_CONTRATO,FECHA_MODIFICADA_HITO_CONTRATO,ESTATUS_HITO_CONTRATO,ID_DOCUMENTO_HITO_CONTRATO,TIPO_DOCUMENTO_HITO_CONTRATO,NOMBRE_DOCUMENTO_HITO_CONTRATO,DETALLE_DOCUMENTO_HITO_CONTRATO,URL_DOCUMENTO_HITO_CONTRATO,FECHA_PUBLICACION_DOCUMENTO_HITO_CONTRATO,FECHA_ACTUALIZACION_DOCUMENTO_HITO_CONTRATO,FORMATO_DOCUMENTO_HITO_CONTRATO,IDIOMA_DOCUMENTO_HITO_CONTRATO,FECHA_PUBLICACION,FECHA_ACTUALIZACION,FUENTE_INFORMACION,CONTACTO_INFORMACION
Hidrocarburos,1,2018,Septiembre,4,Campeche,N/A,Marino,Geográficas,-92.18768,19.2504,0,Centroide,9,Asignación de extracción,N/A,A-0001,Aguas someras,N/A,0,N/A,1,Abkatún,295.00699,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0001-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,30,Veracruz,175,Tihuatlán,Geográficas,-97.39427,20.64271,0,Centroide,9,Asignación de extracción,N/A,A-0002,Terrestre,N/A,0,N/A,2,Acuatempa,12.71287,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0002-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,27,Tabasco,9,Jalapa,Geográficas,-92.88848,17.72852,0,Centroide,9,Asignación de extracción,N/A,A-0003,Terrestre,N/A,0,N/A,3,Agave,208.52675,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0003-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,21,Puebla,194,Venustiano Carranza,Geográficas,-97.65691,20.53983,0,Centroide,9,Asignación de extracción,N/A,A-0004,Terrestre,N/A,0,N/A,4,Agua Fría,113.717,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0004-2M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,30,Veracruz,151,Tamiahua,Geográficas,-97.58421,21.35417,0,Centroide,9,Asignación de extracción,N/A,A-0006,Terrestre,N/A,0,N/A,6,Aguacate,33.9702,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0006-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,30,Veracruz,160,Álamo Temapache,Geográficas,-97.86125,20.90833,0,Centroide,9,Asignación de extracción,N/A,A-0007,Terrestre,N/A,0,N/A,7,Ahuatepec,15.8568,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0007-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,4,Campeche,N/A,Marino,Geográficas,-92.05274,19.39915,0,Centroide,9,Asignación de extracción,N/A,A-0008,Aguas someras,N/A,0,N/A,8,Akal,191.873,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0008-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,30,Veracruz,160,Álamo Temapache,Geográficas,-97.67292,20.90052,0,Centroide,9,Asignación de extracción,N/A,A-0010,Terrestre,N/A,0,N/A,10,Álamo San Isidro,12.6862,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0010-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,30,Veracruz,174,Tierra Blanca,Geográficas,-96.32983,18.64283,0,Centroide,9,Asignación de extracción,N/A,A-0016,Terrestre,N/A,0,N/A,16,Angostura,20.20101,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0016-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
Hidrocarburos,1,2018,Septiembre,30,Veracruz,181,Tlalixcoyan,Geográficas,-96.12575,18.65844,0,Centroide,9,Asignación de extracción,N/A,A-0018,Terrestre,N/A,0,N/A,18,Apértura,31.50911,km2,N/A,Vigente,N/A,N/A,N/A,2014-08-13,2014-08-13,2034-08-13,20,7305,2,5+5 años,N/A,Pemex Exploración y Producción,N/A,N/A,México,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A-0018-M.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2018-09-24,2018-09-24,Comisión Nacional de Hidrocarburos,estadistica@cnh.gob.mx
