companyName.org,companyName.sep
"BHP Billiton Petróleo Operaciones de México, S. de R.L. de C.V., y Pemex Exploración y Producción",BHP Billiton Petróleo Operaciones de México S. de R.L. de C.V.
"BHP Billiton Petróleo Operaciones de México, S. de R.L. de C.V., y Pemex Exploración y Producción",Pemex Exploración & Producción
"Calicanto Oil & Gas, S.A.P.I. de C.V.",Calicanto Oil & Gas S.A.P.I. de C.V.
"Canamex Energy Holdings, S.A.PI. de C.V.",Canamex Energy Holdings S.A.PI. de C.V.
Capricorn Energy y Citla Energy B9,Capricorn Energy
Capricorn Energy y Citla Energy B9,Citla Energy B9
Capricorn y Citla,Capricorn
Capricorn y Citla,Citla
Carso Oil and Gas,Carso Oil and Gas
Chevron Energía de México,Chevron Energía de México
"Chevron Energía de México, S. de R.L. de C.V., Pemex Exploración y Producción, e Inpex E&P Mexico, S.A. de C.V.",Chevron Energía de México S. de R.L. de C.V
"Chevron Energía de México, S. de R.L. de C.V., Pemex Exploración y Producción, e Inpex E&P Mexico, S.A. de C.V.",Pemex Exploración & Producción
"Chevron Energía de México, S. de R.L. de C.V., Pemex Exploración y Producción, e Inpex E&P Mexico, S.A. de C.V.",Inpex E&P Mexico S.A. de C.V.
"China Offshore Oil Corporation E&P Mexico, S.A.P.I. de C.V.",China Offshore Oil Corporation E&P Mexico S.A.P.I. de C.V.
"CMM Calibrador, S.A. de C.V.",CMM Calibrador S.A. de C.V.
"Consorcio Petrolero 5M Del Golfo, S.A.P.I. de C.V.",Consorcio Petrolero 5M Del Golfo S.A.P.I. de C.V.
"Deutsche Erdoel México, S. DE R.L. de C.V.",Deutsche Erdoel México S. DE R.L. de C.V.
"Deutsche, Premier y Sapura",Deutsche
"Deutsche, Premier y Sapura",Premier
"Deutsche, Premier y Sapura",Sapura
"Diavaz Offshore, S.A.P.I. de C.V.",Diavaz Offshore S.A.P.I. de C.V.
"DS Servicios Petroleros, S.A. de C.V",DS Servicios Petroleros S.A. de C.V
"Dunas Exploración y Producción, S.A.P.I. de C.V.",Dunas Exploración & Producción S.A.P.I. de C.V.
Eni México,Eni México
"ENI México, Capricorn Energy y Citla Energy B7",ENI México
"ENI México, Capricorn Energy y Citla Energy B7",Capricorn Energy
"ENI México, Capricorn Energy y Citla Energy B7",Citla Energy B7
"ENI México, S. de R.L. de C.V.",ENI México S. de R.L. de C.V.
"ENI Mexico, S. de R.L. de C.V. y Citla Energy B14",ENI Mexico S. de R.L. de C.V.
"ENI Mexico, S. de R.L. de C.V. y Citla Energy B14",Citla Energy B14
Eni y Lukoil,Eni
Eni y Lukoil,Lukoil
"Fieldwood Energy E&P México, S. de R.L. de C.V., y Petrobal Upstream Delta 1, S.A de C.V.",Fieldwood Energy E&P México S. de R.L. de C.V.
"Fieldwood Energy E&P México, S. de R.L. de C.V., y Petrobal Upstream Delta 1, S.A de C.V.",Petrobal Upstream Delta 1 S.A de C.V.
"Grupo Mareógrafo, S.A. de C.V.",Grupo Mareógrafo S.A. de C.V.
"GS Oil & Gas, S.A.P.I. de C.V.",GS Oil & Gas S.A.P.I. de C.V.
"Hokchi Energy, S.A. de C.V., y E&P Hidrocarburos y Servicios, S.A. de C.V.",Hokchi Energy S.A. de C.V.
"Hokchi Energy, S.A. de C.V., y E&P Hidrocarburos y Servicios, S.A. de C.V.",E&P Hidrocarburos
"Hokchi Energy, S.A. de C.V., y E&P Hidrocarburos y Servicios, S.A. de C.V.",Servicios S.A. de C.V.
Iberoamericana y PJP4,Iberoamericana
Iberoamericana y PJP4,PJP4
Jaguar Exploración y Producción,Jaguar Exploración & Producción
Lukoil Upstream México,Lukoil Upstream México
"Mayacaste Oil & Gas, S.A.P.I. de C.V.",Mayacaste Oil & Gas S.A.P.I. de C.V.
"Murphy Sur, S. de R.L. de C.V., Ophir Mexico Block 5 Salina, S.A. de C.V., PC Carigali Mexico Operations, S.A. de C.V., y Sierra Offshore exploration, S. de R.L. de C.V.",Murphy Sur S. de R.L. de C.V
