companyName.sep,companyNameClean
Pemex Exploración & Producción,Pemex Exploración & Producción
BHP Billiton Petróleo Operaciones de México S. de R.L. de C.V.,BHP Billiton Petróleo Operaciones de México S. de R.L. de C.V.
Petrolera Cárdenas Mora S.A.P.I. de C.V.,Petrolera Cárdenas Mora S.A.P.I. de C.V.
Deutsche Erdoel México S. DE R.L. de C.V.,Deutsche Erdoel México S. DE R.L. de C.V.
Petrofac México S.A. de C.V.,Petrofac México S.A. de C.V.
Servicios Múltiples de Burgos,Servicios Múltiples de Burgos
DS Servicios Petroleros S.A. de C.V,DS Servicios Petroleros S.A. de C.V
Sierra O&G Exploración & Producción S. de R.L. de C.V,Sierra O&G Exploración & Producción S. de R.L. de C.V
Talos energy Offshore Mexico 2 S. de R.L. de C.V.,Talos energy Offshore Mexico 2 S. de R.L. de C.V.
Premier Oil exploration and Production Mexico S.A. de C.V.,Premier Oil exploration and Production Mexico S.A. de C.V.
ENI México S. de R.L. de C.V.,ENI México S. de R.L. de C.V.
Hokchi Energy S.A. de C.V.,Hokchi Energy S.A. de C.V.
E&P Hidrocarburos,E&P Hidrocarburos
Servicios S.A. de C.V.,Servicios S.A. de C.V.
Fieldwood Energy E&P México S. de R.L. de C.V.,Fieldwood Energy E&P México S. de R.L. de C.V.
Petrobal Upstream Delta 1 S.A de C.V.,Petrobal Upstream Delta 1 S.A de C.V.
Diavaz Offshore S.A.P.I. de C.V.,Diavaz Offshore S.A.P.I. de C.V.
Oleum del Norte S.A.P.I. de C.V.,Oleum del Norte S.A.P.I. de C.V.
Renaissance Oil Corp S.A. de C.V.,Renaissance Oil Corp S.A. de C.V.
Grupo Mareógrafo S.A. de C.V.,Grupo Mareógrafo S.A. de C.V.
Mayacaste Oil & Gas S.A.P.I. de C.V.,Mayacaste Oil & Gas S.A.P.I. de C.V.
Canamex Energy Holdings S.A.PI. de C.V.,Canamex Energy Holdings S.A.PI. de C.V.
Roma Energy México,Roma Energy México
Tubular Technology,Tubular Technology
GX Geoscience,GX Geoscience
Servicios de Extraccion Petrolera Lifting de México S.A. de C.V.,Servicios de Extraccion Petrolera Lifting de México S.A. de C.V.
Strata CPB S.A.P.I. de C.V.,Strata CPB S.A.P.I. de C.V.
Consorcio Petrolero 5M Del Golfo S.A.P.I. de C.V.,Consorcio Petrolero 5M Del Golfo S.A.P.I. de C.V.
GS Oil & Gas S.A.P.I. de C.V.,GS Oil & Gas S.A.P.I. de C.V.
Strata CR S.A.P.I. de C.V.,Strata CR S.A.P.I. de C.V.
Secadero Petróleo,Secadero Petróleo
Gas S.A. de C.V.,Gas S.A. de C.V.
Perseus Tajón S.A. de C.V.,Perseus Tajón S.A. de C.V.
Tonalli Energía S.AP.I. de C.V.,Tonalli Energía S.AP.I. de C.V.
CMM Calibrador S.A. de C.V.,CMM Calibrador S.A. de C.V.
Calicanto Oil & Gas S.A.P.I. de C.V.,Calicanto Oil & Gas S.A.P.I. de C.V.
Servicios de extraccion Petrolera Lifting de México S.A. de C.V.,Servicios de extraccion Petrolera Lifting de México S.A. de C.V.
Dunas Exploración & Producción S.A.P.I. de C.V.,Dunas Exploración & Producción S.A.P.I. de C.V.
Perseus Fortuna Nacional S.A. de C.V.,Perseus Fortuna Nacional S.A. de C.V.
China Offshore Oil Corporation E&P Mexico S.A.P.I. de C.V.,China Offshore Oil Corporation E&P Mexico S.A.P.I. de C.V.
Statoil E&P Mexico S.A. de C.V,Statoil E&P Mexico S.A. de C.V
BP Exploration Mexico S.A. de C.V.,BP Exploration Mexico S.A. de C.V.
Total E&P Mexico S.A. de C.V.,Total E&P Mexico S.A. de C.V.
Exxonmobil Exploración & Producción México S. de R.L. de C.V.,Exxonmobil Exploración & Producción México S. de R.L. de C.V.
Chevron Energía de México S. de R.L. de C.V,Chevron Energía de México S. de R.L. de C.V
Inpex E&P Mexico S.A. de C.V.,Inpex E&P Mexico S.A. de C.V.
PC Carigali Mexico Operations S.A. de C.V.,PC Carigali Mexico Operations S.A. de C.V.
Sierra Coronado E&P S. de R.L. de C.V.,Sierra Coronado E&P S. de R.L. de C.V.
Murphy Sur S. de R.L. de C.V,Murphy Sur S. de R.L. de C.V
Ophir Mexico Block 5 Salina S.A. de C.V,Ophir Mexico Block 5 Salina S.A. de C.V
Sierra Offshore exploration S. de R.L. de C.V.,Sierra Offshore exploration S. de R.L. de C.V.
Repsol Exploración México,Repsol Exploración México
