companyName.sep,companyNameClean
BHP Billiton Petróleo Operaciones de México S. de R.L. de C.V.,BHP Billiton Petróleo Operaciones de México S. de R.L. de C.V.
BP,BP Exploration Mexico S.A. de C.V.
BP Exploration Mexico S.A. de C.V.,BP Exploration Mexico S.A. de C.V.
Calicanto Oil & Gas S.A.P.I. de C.V.,Calicanto Oil & Gas S.A.P.I. de C.V.
Canamex Energy Holdings S.A.PI. de C.V.,Canamex Energy Holdings S.A.PI. de C.V.
Capricorn,Capricorn Energy
Capricorn Energy,Capricorn Energy
Carso Oil and Gas,Carso Oil and Gas
Chevron Energía de México,Chevron Energía de México S. de R.L. de C.V
Chevron Energía de México S. de R.L. de C.V,Chevron Energía de México S. de R.L. de C.V
China Offshore Oil Corporation E&P Mexico S.A.P.I. de C.V.,China Offshore Oil Corporation E&P Mexico S.A.P.I. de C.V.
Citla,Citla Energy B15
Citla Energy B14,Citla Energy B14
Citla Energy B7,Citla Energy B7
Citla Energy B9,Citla Energy B9
CMM Calibrador S.A. de C.V.,CMM Calibrador S.A. de C.V.
Compañía Española,"CEPSA E.P.Mexico, S. de R.L de R.L. de C.V."
Consorcio Petrolero 5M Del Golfo S.A.P.I. de C.V.,Consorcio Petrolero 5M Del Golfo S.A.P.I. de C.V.
DEA Deutsche,Deutsche Erdoel México S. DE R.L. de C.V.
Deutsche,Deutsche Erdoel México S. DE R.L. de C.V.
Deutsche Erdoel México S. DE R.L. de C.V.,Deutsche Erdoel México S. DE R.L. de C.V.
Diavaz Offshore S.A.P.I. de C.V.,Diavaz Offshore S.A.P.I. de C.V.
DS Servicios Petroleros S.A. de C.V,DS Servicios Petroleros S.A. de C.V
Dunas Exploración & Producción S.A.P.I. de C.V.,Dunas Exploración & Producción S.A.P.I. de C.V.
E&P Hidrocarburos,E&P Hidrocarburos
ECP Hidrocarburos México,ECP Hidrocarburos México
Eni,ENI México S. de R.L. de C.V.
Eni México,ENI México S. de R.L. de C.V.
ENI México,ENI México S. de R.L. de C.V.
ENI Mexico S. de R.L. de C.V.,ENI México S. de R.L. de C.V.
ENI México S. de R.L. de C.V.,ENI México S. de R.L. de C.V.
Exxonmobil Exploración & Producción México S. de R.L. de C.V.,Exxonmobil Exploración & Producción México S. de R.L. de C.V.
Fieldwood Energy E&P México S. de R.L. de C.V.,Fieldwood Energy E&P México S. de R.L. de C.V.
Gas S.A. de C.V.,Gas S.A. de C.V.
